geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date,visitor_flows,pop_flows
01,01,-86.8445209956579,32.75687994183124,-86.8445209956579,32.75687994183124,2019-10-14,880157,11286538.0
01,02,-86.8445209956579,32.75687994183124,-151.59342192189865,63.742989015090714,2019-10-14,18,230.0
01,04,-86.8445209956579,32.75687994183124,-111.6644603390921,34.29309519459149,2019-10-14,250,3205.0
01,05,-86.8445209956579,32.75687994183124,-92.43923686174863,34.8997724175194,2019-10-14,679,8707.0
01,06,-86.8445209956579,32.75687994183124,-119.6638458867405,37.21530826027419,2019-10-14,718,9207.0
01,08,-86.8445209956579,32.75687994183124,-105.5478211203382,38.99853159698931,2019-10-14,480,6155.0
01,09,-86.8445209956579,32.75687994183124,-72.73825767764087,41.575164149895755,2019-10-14,75,961.0
01,10,-86.8445209956579,32.75687994183124,-75.45249262811352,38.99497528640457,2019-10-14,22,282.0
01,11,-86.8445209956579,32.75687994183124,-77.0162909035438,38.90477388790585,2019-10-14,237,3039.0
01,12,-86.8445209956579,32.75687994183124,-82.46641838867941,28.477058414990193,2019-10-14,13367,171409.0
01,13,-86.8445209956579,32.75687994183124,-83.42714021377525,32.63861711465618,2019-10-14,16174,207404.0
01,15,-86.8445209956579,32.75687994183124,-158.1099738068461,20.995111199008356,2019-10-14,53,679.0
01,16,-86.8445209956579,32.75687994183124,-114.6594139607683,44.389055086057056,2019-10-14,29,371.0
01,17,-86.8445209956579,32.75687994183124,-89.14863899339443,40.124200826969364,2019-10-14,842,10797.0
01,18,-86.8445209956579,32.75687994183124,-86.28183838774677,39.919869617318085,2019-10-14,533,6834.0
01,19,-86.8445209956579,32.75687994183124,-93.50009011569544,42.07464832674591,2019-10-14,276,3539.0
01,20,-86.8445209956579,32.75687994183124,-98.38015540415404,38.484727072453566,2019-10-14,480,6155.0
01,21,-86.8445209956579,32.75687994183124,-85.29055223275348,37.5266141736611,2019-10-14,985,12630.0
01,22,-86.8445209956579,32.75687994183124,-91.81423318426776,30.909072897746587,2019-10-14,1785,22889.0
01,23,-86.8445209956579,32.75687994183124,-69.20275986278288,45.27432853102379,2019-10-14,132,1692.0
