geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date,visitor_flows,pop_flows
01,01,-86.8445209956579,32.75687994183124,-86.8445209956579,32.75687994183124,2021-04-13,1122775,12739352.0
01,02,-86.8445209956579,32.75687994183124,-151.59342192189865,63.742989015090714,2021-04-13,30,340.0
01,04,-86.8445209956579,32.75687994183124,-111.6644603390921,34.29309519459149,2021-04-13,345,3914.0
01,05,-86.8445209956579,32.75687994183124,-92.43923686174863,34.8997724175194,2021-04-13,590,6694.0
01,06,-86.8445209956579,32.75687994183124,-119.6638458867405,37.21530826027419,2021-04-13,485,5502.0
01,08,-86.8445209956579,32.75687994183124,-105.5478211203382,38.99853159698931,2021-04-13,304,3449.0
01,09,-86.8445209956579,32.75687994183124,-72.73825767764087,41.575164149895755,2021-04-13,33,374.0
01,10,-86.8445209956579,32.75687994183124,-75.45249262811352,38.99497528640457,2021-04-13,26,295.0
01,11,-86.8445209956579,32.75687994183124,-77.0162909035438,38.90477388790585,2021-04-13,14,158.0
01,12,-86.8445209956579,32.75687994183124,-82.46641838867941,28.477058414990193,2021-04-13,10158,115255.0
01,13,-86.8445209956579,32.75687994183124,-83.42714021377525,32.63861711465618,2021-04-13,18033,204608.0
01,15,-86.8445209956579,32.75687994183124,-158.1099738068461,20.995111199008356,2021-04-13,95,1077.0
01,16,-86.8445209956579,32.75687994183124,-114.6594139607683,44.389055086057056,2021-04-13,40,453.0
01,17,-86.8445209956579,32.75687994183124,-89.14863899339443,40.124200826969364,2021-04-13,662,7511.0
01,18,-86.8445209956579,32.75687994183124,-86.28183838774677,39.919869617318085,2021-04-13,666,7556.0
01,19,-86.8445209956579,32.75687994183124,-93.50009011569544,42.07464832674591,2021-04-13,207,2348.0
01,20,-86.8445209956579,32.75687994183124,-98.38015540415404,38.484727072453566,2021-04-13,181,2053.0
01,21,-86.8445209956579,32.75687994183124,-85.29055223275348,37.5266141736611,2021-04-13,909,10313.0
01,22,-86.8445209956579,32.75687994183124,-91.81423318426776,30.909072897746587,2021-04-13,1435,16281.0
01,23,-86.8445209956579,32.75687994183124,-69.20275986278288,45.27432853102379,2021-04-13,17,192.0
01,24,-86.8445209956579,32.75687994183124,-76.68717734070172,38.94649396258224,2021-04-13,167,1894.0
01,25,-86.8445209956579,32.75687994183124,-71.503972041848,42.16009326868467,2021-04-13,66,748.0
01,26,-86.8445209956579,32.75687994183124,-85.73095291151436,44.874773603554175,2021-04-13,613,6955.0
01,27,-86.8445209956579,32.75687994183124,-94.19830560457335,46.3491103788664,2021-04-13,206,2337.0
01,28,-86.8445209956579,32.75687994183124,-89.6533594096457,32.712892273261986,2021-04-13,7215,81863.0
01,29,-86.8445209956579,32.75687994183124,-92.4774251950813,38.3676304410753,2021-04-13,575,6524.0
01,30,-86.8445209956579,32.75687994183124,-109.64520698796639,47.03342111039991,2021-04-13,67,760.0
01,31,-86.8445209956579,32.75687994183124,-99.81085586033895,41.527151125231704,2021-04-13,100,1134.0
01,32,-86.8445209956579,32.75687994183124,-116.65524866805762,39.356185873030874,2021-04-13,191,2167.0
01,33,-86.8445209956579,32.75687994183124,-71.57124316745634,43.6802370603039,2021-04-13,24,272.0
01,34,-86.8445209956579,32.75687994183124,-74.65561230865505,40.11017985292258,2021-04-13,124,1406.0
01,35,-86.8445209956579,32.75687994183124,-106.1084438818861,34.42130099474041,2021-04-13,147,1667.0
01,36,-86.8445209956579,32.75687994183124,-75.59654322164518,42.92123354806042,2021-04-13,177,2008.0
01,37,-86.8445209956579,32.75687994183124,-79.13090891837648,35.52603039243236,2021-04-13,1099,12469.0
01,38,-86.8445209956579,32.75687994183124,-100.4693907950372,47.446310421753914,2021-04-13,43,487.0
01,39,-86.8445209956579,32.75687994183124,-82.70937700691621,40.415486910016135,2021-04-13,620,7034.0
01,40,-86.8445209956579,32.75687994183124,-97.50822793037422,35.583464652524235,2021-04-13,292,3313.0
01,41,-86.8445209956579,32.75687994183124,-120.60525631019901,43.94045138675371,2021-04-13,61,692.0
01,42,-86.8445209956579,32.75687994183124,-77.83893800628347,40.896700506452106,2021-04-13,319,3619.0
01,44,-86.8445209956579,32.75687994183124,-71.52472355562169,41.59463889844585,2021-04-13,6,68.0
01,45,-86.8445209956579,32.75687994183124,-80.86459715523999,33.87785606967731,2021-04-13,944,10710.0
01,46,-86.8445209956579,32.75687994183124,-100.23046550270404,44.43613758926095,2021-04-13,56,635.0
01,47,-86.8445209956579,32.75687994183124,-86.34341233023729,35.84298014361061,2021-04-13,7014,79583.0
01,48,-86.8445209956579,32.75687994183124,-99.31712096957119,31.447212191842507,2021-04-13,2035,23089.0
01,49,-86.8445209956579,32.75687994183124,-111.67824995489637,39.32376871301901,2021-04-13,72,816.0
01,50,-86.8445209956579,32.75687994183124,-72.66263037415419,44.075248233178044,2021-04-13,12,136.0
01,51,-86.8445209956579,32.75687994183124,-78.66634949421768,37.510873096830124,2021-04-13,597,6773.0
01,53,-86.8445209956579,32.75687994183124,-120.59289987466929,47.41163921872467,2021-04-13,109,1236.0
01,54,-86.8445209956579,32.75687994183124,-80.61370689717069,38.64256709677395,2021-04-13,119,1350.0
01,55,-86.8445209956579,32.75687994183124,-89.73293305821664,44.63994410730462,2021-04-13,341,3869.0
01,56,-86.8445209956579,32.75687994183124,-107.55139421018254,42.9995374625361,2021-04-13,66,748.0
01,72,-86.8445209956579,32.75687994183124,-66.41466678397286,18.21569833731172,2021-04-13,1,11.0
02,01,-151.59342192189865,63.742989015090714,-86.8445209956579,32.75687994183124,2021-04-13,42,1281.0
02,02,-151.59342192189865,63.742989015090714,-151.59342192189865,63.742989015090714,2021-04-13,44602,1360652.0
02,04,-151.59342192189865,63.742989015090714,-111.6644603390921,34.29309519459149,2021-04-13,241,7352.0
02,05,-151.59342192189865,63.742989015090714,-92.43923686174863,34.8997724175194,2021-04-13,26,793.0
02,06,-151.59342192189865,63.742989015090714,-119.6638458867405,37.21530826027419,2021-04-13,210,6406.0
02,08,-151.59342192189865,63.742989015090714,-105.5478211203382,38.99853159698931,2021-04-13,58,1769.0
02,10,-151.59342192189865,63.742989015090714,-75.45249262811352,38.99497528640457,2021-04-13,7,213.0
02,11,-151.59342192189865,63.742989015090714,-77.0162909035438,38.90477388790585,2021-04-13,7,213.0
02,12,-151.59342192189865,63.742989015090714,-82.46641838867941,28.477058414990193,2021-04-13,135,4118.0
02,13,-151.59342192189865,63.742989015090714,-83.42714021377525,32.63861711465618,2021-04-13,52,1586.0
02,15,-151.59342192189865,63.742989015090714,-158.1099738068461,20.995111199008356,2021-04-13,138,4209.0
02,16,-151.59342192189865,63.742989015090714,-114.6594139607683,44.389055086057056,2021-04-13,44,1342.0
02,17,-151.59342192189865,63.742989015090714,-89.14863899339443,40.124200826969364,2021-04-13,21,640.0
02,18,-151.59342192189865,63.742989015090714,-86.28183838774677,39.919869617318085,2021-04-13,10,305.0
02,19,-151.59342192189865,63.742989015090714,-93.50009011569544,42.07464832674591,2021-04-13,13,396.0
02,20,-151.59342192189865,63.742989015090714,-98.38015540415404,38.484727072453566,2021-04-13,9,274.0
02,21,-151.59342192189865,63.742989015090714,-85.29055223275348,37.5266141736611,2021-04-13,10,305.0
02,22,-151.59342192189865,63.742989015090714,-91.81423318426776,30.909072897746587,2021-04-13,32,976.0
02,23,-151.59342192189865,63.742989015090714,-69.20275986278288,45.27432853102379,2021-04-13,6,183.0
02,24,-151.59342192189865,63.742989015090714,-76.68717734070172,38.94649396258224,2021-04-13,12,366.0
02,25,-151.59342192189865,63.742989015090714,-71.503972041848,42.16009326868467,2021-04-13,8,244.0
02,26,-151.59342192189865,63.742989015090714,-85.73095291151436,44.874773603554175,2021-04-13,18,549.0
02,27,-151.59342192189865,63.742989015090714,-94.19830560457335,46.3491103788664,2021-04-13,13,396.0
02,28,-151.59342192189865,63.742989015090714,-89.6533594096457,32.712892273261986,2021-04-13,17,518.0
